Filename,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
indore-en-llama3_zshot_prompt-stanza-test-better_prompt.json,0.02287581699346405,0.019605343962550547,0.9964664310954063,0.03845410847604004,0.0384475103995266
indore-en-llama3_zshot_prompt-trankit-test-better_prompt.json,0.02288736460426338,0.019605571133925054,0.9964664310954063,0.03845454545454545,0.038448953390558406
indore-en-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9772512067253285,0.4278131634819533,0.4746760895170789,0.4500279173646008,0.4747817850922267
indore-en-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9768585879581515,0.4192185850052798,0.46760895170789163,0.4420935412026726,0.4680767910562096
indore-en-qwen_zshot_prompt-stanza-test-better_prompt.json,0.9734058523291531,0.3546371936568957,0.43462897526501765,0.39057951839110877,0.395043851974383
indore-en-qwen_zshot_prompt-trankit-test-better_prompt.json,0.9733134714427585,0.3571095571095571,0.45111896348645464,0.3986468904501691,0.40468425960447674
indore-hi-llama3_zshot_prompt-stanza-test-better_prompt.json,0.3825320082370848,0.025374937806524982,0.815068493150685,0.04921761908044392,0.054051001209985156
indore-hi-llama3_zshot_prompt-trankit-test-better_prompt.json,0.38124869430268304,0.025413110801163093,0.8181126331811264,0.04929496732775422,0.05402221101041345
indore-hi-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9720932849466903,0.33665559246954596,0.43615494978479197,0.38,0.37133422369732055
indore-hi-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9720932849466903,0.3355629877369008,0.43185078909612623,0.3776662484316186,0.36440032923689214
indore-hi-qwen_zshot_prompt-stanza-test-better_prompt.json,0.9553681612505142,0.2073757349011224,0.4522144522144522,0.2843532429461341,0.3619673458301283
indore-hi-qwen_zshot_prompt-trankit-test-better_prompt.json,0.9555843301681259,0.21357380161366873,0.4716981132075472,0.2940215615811827,0.35082799338256737
indore-te-llama3_zshot_prompt-stanza-test-better_prompt.json,0.037017012687427915,0.019696839941765864,0.9865196078431373,0.03862254261073995,0.03868409270664208
indore-te-llama3_zshot_prompt-trankit-test-better_prompt.json,0.03592368319876971,0.019710152011339754,0.9883578431372549,0.03864954233957924,0.038696957135025016
indore-te-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9631507775524003,0.09789750328515112,0.10704022988505747,0.10226492793411121,0.08736494911262327
indore-te-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9634260889984736,0.11103633916554509,0.12350299401197605,0.11693834160170093,0.11209615546750888
indore-te-qwen_zshot_prompt-None-test-better_prompt.json,0.9587898885044214,0.2044707429322814,0.38112745098039214,0.26615318784766795,0.2801702496267385
indore-te-qwen_zshot_prompt-trankit-test-better_prompt.json,0.9565191272587467,0.1704809286898839,0.31495098039215685,0.22121799010114052,0.254041959894278
redfm-ar-llama3_zshot_prompt-stanza-test-better_prompt.json,0.06437136627906977,0.03163401644743032,0.9773255813953489,0.06128438360159682,0.06160791647113366
redfm-ar-llama3_zshot_prompt-trankit-test-better_prompt.json,0.06507994186046512,0.03155138637733575,0.9738372093023255,0.06112246387388702,0.06081692865840582
redfm-ar-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9578269675925926,0.30982367758186397,0.2847222222222222,0.2967430639324487,0.2917155693349055
redfm-ar-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9568865740740741,0.2955112219451372,0.2743055555555556,0.2845138055222089,0.27866579578073136
redfm-de-llama3_zshot_prompt-stanza-test-better_prompt.json,0.03125,0.03125,1.0,0.06060606060606061,0.06060606060606061
redfm-de-llama3_zshot_prompt-trankit-test-better_prompt.json,0.03125,0.03125,1.0,0.06060606060606061,0.06060606060606061
redfm-de-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9618141183723797,0.3746518105849582,0.3316892725030826,0.3518639633747548,0.3195707251433807
redfm-de-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9616599876695437,0.37362637362637363,0.3353884093711467,0.3534762833008447,0.3201605397924078
redfm-en-llama3_zshot_prompt-stanza-test-better_prompt.json,0.03125,0.03125,1.0,0.06060606060606061,0.06060606060606061
redfm-en-llama3_zshot_prompt-trankit-test-better_prompt.json,0.03125,0.03125,1.0,0.06060606060606061,0.06060606060606061
redfm-en-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9597672064777328,0.34551784160139254,0.3214574898785425,0.3330536912751678,0.3439731241854672
redfm-en-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9600708502024291,0.35047951176983433,0.3255060728744939,0.3375314861460957,0.3470244301354323
redfm-es-llama3_zshot_prompt-stanza-test-better_prompt.json,0.033807980900409276,0.03129007437804565,0.9986357435197817,0.06067890744808721,0.060765801978247554
redfm-es-llama3_zshot_prompt-trankit-test-better_prompt.json,0.033807980900409276,0.03129007437804565,0.9986357435197817,0.06067890744808721,0.060765801978247554
redfm-es-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9574948840381992,0.31142857142857144,0.29740791268758526,0.3042568039078856,0.32636178974611035
redfm-es-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9567701227830833,0.29784172661870506,0.28240109140518416,0.28991596638655465,0.3074499533958418
redfm-fr-llama3_zshot_prompt-stanza-test-better_prompt.json,0.034006410256410255,0.031245981741031246,0.9969230769230769,0.060592837328180035,0.06056113732495328
redfm-fr-llama3_zshot_prompt-trankit-test-better_prompt.json,0.0340224358974359,0.031246483966889015,0.9969230769230769,0.060593781656666415,0.06056357798984736
redfm-fr-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9578205128205128,0.30777903043968435,0.28,0.29323308270676696,0.30422176177297033
redfm-fr-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9586538461538462,0.31958762886597936,0.28615384615384615,0.3019480519480519,0.31048875471724485
redfm-it-llama3_zshot_prompt-stanza-test-better_prompt.json,0.0362126572327044,0.031359573312262336,0.9984276729559748,0.06080919320086186,0.060824149810825054
redfm-it-llama3_zshot_prompt-trankit-test-better_prompt.json,0.03981065837937385,0.03142463168589883,0.9967771639042358,0.06092841966032054,0.06095144284691445
redfm-it-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9563478360957642,0.27897435897435896,0.2504604051565378,0.2639495390587094,0.33375681091786563
redfm-it-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9558586556169429,0.27049180327868855,0.2430939226519337,0.2560620756547042,0.3271523811278844
redfm-zh-llama3_zshot_prompt-stanza-test-better_prompt.json,0.920013197586727,0.15829477858559154,0.361236802413273,0.22012867647058823,0.24761901510355366
redfm-zh-llama3_zshot_prompt-trankit-test-better_prompt.json,0.9067684766214178,0.1328866554997208,0.358974358974359,0.1939690301548492,0.24188679211091565
redfm-zh-mistral_zshot_prompt-stanza-test-better_prompt.json,0.9566365007541479,0.30500758725341426,0.3031674208144796,0.3040847201210288,0.3325258223175814
redfm-zh-mistral_zshot_prompt-trankit-test-better_prompt.json,0.9566836349924586,0.3112094395280236,0.31825037707390647,0.31469052945563014,0.3406425370817485
