Language	Model	Parser	Prompting	Precision	Recall	F1 Score	Macro F1 Score	
en	llama3	None	baseline	0.336548398	0.575382803	0.424690285	0.475613833	
en	llama3	stanza	DAG	0.321416053	0.540047114	0.402988354	0.465238321	
en	llama3	stanza	simple_prompt	0.158776707	0.446407538	0.234239802	0.301780513	
en	llama3	trankit	DAG	0.318117481	0.529446408	0.397435897	0.45150215	
en	llama3	trankit	simple_prompt	0.14318618	0.4393404	0.215981471	0.275381136	
en	mistral	None	baseline	0.45302714	0.511189635	0.480354178	0.513222274	
en	mistral	stanza	DAG	0.480972516	0.535924617	0.506963788	0.526512307	
en	mistral	stanza	simple_prompt	0.415902141	0.480565371	0.445901639	0.483980507	
en	mistral	trankit	DAG	0.478947368	0.535924617	0.505836576	0.526164401	
en	mistral	trankit	simple_prompt	0.409230769	0.469964664	0.4375	0.479968404	
en	qwen	None	baseline	0.339782346	0.496466431	0.4034458	0.426987991	
en	qwen	stanza	DAG	0.394981413	0.500588928	0.441558442	0.447048516	
en	qwen	stanza	simple_prompt	0.374720358	0.394581861	0.384394722	0.382512596	
en	qwen	trankit	DAG	0.391747798	0.497644287	0.438391699	0.440441482	
en	qwen	trankit	simple_prompt	0.374727669	0.405182568	0.389360498	0.395911956	
hi	llama3	None	baseline	0.20438304	0.615494978	0.306866953	0.390179175	
hi	llama3	stanza	DAG	0.188630491	0.576040172	0.284197487	0.351551709	
hi	llama3	stanza	simple_prompt	0.101769912	0.359375	0.15862069	0.283235886	
hi	llama3	trankit	DAG	0.191275951	0.588235294	0.28868157	0.358222527	
hi	llama3	trankit	simple_prompt	0.118343195	0.416666667	0.184331797	0.305600071	
hi	mistral	None	baseline	0.357380688	0.461979914	0.403003755	0.385465322	
hi	mistral	stanza	DAG	0.329321663	0.431850789	0.373680944	0.356345159	
hi	mistral	stanza	simple_prompt	0.301339286	0.387374462	0.338983051	0.305978807	
hi	mistral	trankit	DAG	0.32788671	0.431850789	0.372755418	0.355459366	
hi	mistral	trankit	simple_prompt	0.30199115	0.391678623	0.341036852	0.305257885	
hi	qwen	None	baseline	0.244267516	0.550215208	0.338332598	0.391904503	
hi	qwen	stanza	DAG	0.237356709	0.505021521	0.32293578	0.390456645	
hi	qwen	stanza	simple_prompt	0.234482759	0.493468795	0.317905563	0.382023398	
hi	qwen	trankit	DAG	0.23414305	0.49784792	0.318494722	0.372674376	
hi	qwen	trankit	simple_prompt	0.232227488	0.497822932	0.316712835	0.374447228	
te	llama3	None	baseline	0.10594947	0.557598039	0.178064769	0.218628958	
te	llama3	stanza	DAG	0.098183948	0.513480392	0.164847054	0.197786201	
te	llama3	stanza	simple_prompt	0.036620891	0.38372093	0.066860833	0.109065987	
te	llama3	trankit	DAG	0.097786626	0.511642157	0.164192311	0.196311067	
te	llama3	trankit	simple_prompt	0.033288591	0.369047619	0.061068702	0.104980996	
te	mistral	None	baseline	0.122246696	0.136029412	0.128770302	0.105852331	
te	mistral	stanza	DAG	0.104234528	0.117647059	0.110535406	0.106153885	
te	mistral	stanza	simple_prompt	0.111356119	0.12377451	0.117237377	0.097935919	
te	mistral	trankit	DAG	0.104234528	0.117647059	0.110535406	0.106153885	
te	mistral	trankit	simple_prompt	0.109051254	0.12254902	0.115406809	0.107601491	
te	qwen	None	baseline	0.205824607	0.385416667	0.26834471	0.291006077	
te	qwen	stanza	DAG	0.195433177	0.356617647	0.252494577	0.271474011	
te	qwen	stanza	simple_prompt	0.17877907	0.301470588	0.224452555	0.26148619	
te	qwen	trankit	DAG	0.197467488	0.353553922	0.253403601	0.26811176	
te	qwen	trankit	simple_prompt	0.162756598	0.272058824	0.203669725	0.217637923	
en	llama3	stanza	deptext	0.349024597	0.484687868	0.40581854	0.444065555	
en	llama3	trankit	deptext	0.352277476	0.496466431	0.412124175	0.44849555	
en	mistral	stanza	deptext	0.427813163	0.47467609	0.450027917	0.474781785	
en	mistral	trankit	deptext	0.419218585	0.467608952	0.442093541	0.468076791	
en	qwen	stanza	deptext	0.354637194	0.434628975	0.390579518	0.395043852	
en	qwen	trankit	deptext	0.357109557	0.451118963	0.39864689	0.40468426	
hi	llama3	stanza	deptext	0.357261182	0.49238965	0.41408	0.374665503	
hi	llama3	trankit	deptext	0.364145658	0.494672755	0.419490158	0.383974398	
hi	mistral	stanza	deptext	0.336655592	0.43615495	0.38	0.371334224	
hi	mistral	trankit	deptext	0.335562988	0.431850789	0.377666248	0.364400329	
hi	qwen	stanza	deptext	0.388659794	0.439393939	0.412472648	0.410548248	
hi	qwen	trankit	deptext	0.397839784	0.463312369	0.428087167	0.404727269	
te	llama3	stanza	deptext	0.267411866	0.381127451	0.314300152	0.229428834	
te	llama3	trankit	deptext	0.262643434	0.378676471	0.310163112	0.239898592	
te	mistral	stanza	deptext	0.097897503	0.10704023	0.102264928	0.087364949	
te	mistral	trankit	deptext	0.111036339	0.123502994	0.116938342	0.112096155	
te	qwen	None	deptext	0.31294964	0.373161765	0.340413639	0.306034302	
te	qwen	trankit	deptext	0.258755881	0.303308824	0.279266573	0.272850733	